Machine Module SVA1032X
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+08
Stop Frequency,+8.000000000E+08
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+08,-4.122388e+01
1.009333e+08,-4.089976e+01
1.018667e+08,-4.099077e+01
1.028000e+08,-4.082589e+01
1.037333e+08,-4.038383e+01
1.046667e+08,-4.069776e+01
1.056000e+08,-4.036452e+01
1.065333e+08,-4.026624e+01
1.074667e+08,-3.970228e+01
1.084000e+08,-3.972976e+01
1.093333e+08,-3.986177e+01
1.102667e+08,-3.951566e+01
1.112000e+08,-3.962117e+01
1.121333e+08,-3.928838e+01
1.130667e+08,-3.903349e+01
1.140000e+08,-3.905957e+01
1.149333e+08,-3.880519e+01
1.158667e+08,-3.881446e+01
1.168000e+08,-3.847035e+01
1.177333e+08,-3.848862e+01
1.186667e+08,-3.820048e+01
1.196000e+08,-3.826578e+01
1.205333e+08,-3.795459e+01
1.214667e+08,-3.779575e+01
1.224000e+08,-3.764365e+01
1.233333e+08,-3.761350e+01
1.242667e+08,-3.738163e+01
1.252000e+08,-3.728214e+01
1.261333e+08,-3.704588e+01
1.270667e+08,-3.674853e+01
1.280000e+08,-3.674301e+01
1.289333e+08,-3.647376e+01
1.298667e+08,-3.641583e+01
1.308000e+08,-3.611215e+01
1.317333e+08,-3.608421e+01
1.326667e+08,-3.588757e+01
1.336000e+08,-3.571856e+01
1.345333e+08,-3.565299e+01
1.354667e+08,-3.544207e+01
1.364000e+08,-3.522524e+01
1.373333e+08,-3.517110e+01
1.382667e+08,-3.500527e+01
1.392000e+08,-3.467488e+01
1.401333e+08,-3.457668e+01
1.410667e+08,-3.433993e+01
1.420000e+08,-3.410169e+01
1.429333e+08,-3.396177e+01
1.438667e+08,-3.393229e+01
1.448000e+08,-3.372414e+01
1.457333e+08,-3.353514e+01
1.466667e+08,-3.332900e+01
1.476000e+08,-3.326979e+01
1.485333e+08,-3.296938e+01
1.494667e+08,-3.277071e+01
1.504000e+08,-3.253314e+01
1.513333e+08,-3.253428e+01
1.522667e+08,-3.232388e+01
1.532000e+08,-3.207631e+01
1.541333e+08,-3.196914e+01
1.550667e+08,-3.170874e+01
1.560000e+08,-3.153038e+01
1.569333e+08,-3.145615e+01
1.578667e+08,-3.125761e+01
1.588000e+08,-3.107011e+01
1.597333e+08,-3.079569e+01
1.606667e+08,-3.068711e+01
1.616000e+08,-3.043941e+01
1.625333e+08,-3.041917e+01
1.634667e+08,-3.013765e+01
1.644000e+08,-2.996995e+01
1.653333e+08,-2.983812e+01
1.662667e+08,-2.975876e+01
1.672000e+08,-2.954852e+01
1.681333e+08,-2.937363e+01
1.690667e+08,-2.918073e+01
1.700000e+08,-2.908233e+01
1.709333e+08,-2.892729e+01
1.718667e+08,-2.871878e+01
1.728000e+08,-2.868759e+01
1.737333e+08,-2.854221e+01
1.746667e+08,-2.825932e+01
1.756000e+08,-2.814346e+01
1.765333e+08,-2.795596e+01
1.774667e+08,-2.786646e+01
1.784000e+08,-2.764748e+01
1.793333e+08,-2.761520e+01
1.802667e+08,-2.745019e+01
1.812000e+08,-2.731286e+01
1.821333e+08,-2.710624e+01
1.830667e+08,-2.700788e+01
1.840000e+08,-2.685848e+01
1.849333e+08,-2.662326e+01
1.858667e+08,-2.656138e+01
1.868000e+08,-2.643120e+01
1.877333e+08,-2.627193e+01
1.886667e+08,-2.620833e+01
1.896000e+08,-2.598130e+01
1.905333e+08,-2.589244e+01
1.914667e+08,-2.573758e+01
1.924000e+08,-2.553667e+01
1.933333e+08,-2.547533e+01
1.942667e+08,-2.526315e+01
1.952000e+08,-2.512549e+01
1.961333e+08,-2.502077e+01
1.970667e+08,-2.486534e+01
1.980000e+08,-2.476655e+01
1.989333e+08,-2.455635e+01
1.998667e+08,-2.444365e+01
2.008000e+08,-2.427762e+01
2.017333e+08,-2.416976e+01
2.026667e+08,-2.398614e+01
2.036000e+08,-2.386365e+01
2.045333e+08,-2.369335e+01
2.054667e+08,-2.350314e+01
2.064000e+08,-2.332996e+01
2.073333e+08,-2.318798e+01
2.082667e+08,-2.307520e+01
2.092000e+08,-2.287675e+01
2.101333e+08,-2.271706e+01
2.110667e+08,-2.257584e+01
2.120000e+08,-2.240266e+01
2.129333e+08,-2.219252e+01
2.138667e+08,-2.204990e+01
2.148000e+08,-2.186051e+01
2.157333e+08,-2.171361e+01
