Machine Module SVA1032X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+7.000000000E+07
Stop Frequency,+1.300000000E+08
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
7.000000e+07,-4.566568e-02
7.030000e+07,1.289722e-02
7.060000e+07,9.864861e-03
7.090000e+07,7.562736e-03
7.120000e+07,-8.495471e-03
7.150000e+07,-9.993380e-03
7.180000e+07,-4.029913e-03
7.210000e+07,1.521570e-03
7.240000e+07,9.341853e-03
7.270000e+07,-3.581274e-02
7.300000e+07,-5.923506e-03
7.330000e+07,5.090915e-03
7.360000e+07,5.169272e-03
7.390000e+07,-3.718489e-03
7.420000e+07,-8.315800e-03
7.450000e+07,-4.047936e-03
7.480000e+07,3.222665e-02
7.510000e+07,-7.638218e-02
7.540000e+07,1.459690e-02
7.570000e+07,2.359797e-03
7.600000e+07,-2.458884e-02
7.630000e+07,-1.939097e-02
7.660000e+07,-3.050549e-02
7.690000e+07,1.574014e-02
7.720000e+07,-2.529474e-02
7.750000e+07,-2.021949e-02
7.780000e+07,-4.809721e-02
7.810000e+07,-3.112973e-03
7.840000e+07,-9.366532e-03
7.870000e+07,2.743921e-02
7.900000e+07,8.890304e-02
7.930000e+07,-1.130340e-02
7.960000e+07,-2.113501e-02
7.990000e+07,-2.410222e-02
8.020000e+07,8.117198e-03
8.050000e+07,-3.899480e-02
8.080000e+07,-7.481541e-02
8.110000e+07,-4.722326e-02
8.140000e+07,-5.086707e-02
8.170000e+07,-6.643703e-03
8.200000e+07,2.084894e-02
8.230000e+07,-1.910919e-03
8.260000e+07,9.195672e-04
8.290000e+07,-2.001978e-02
8.320000e+07,-4.683489e-02
8.350000e+07,4.174230e-02
8.380000e+07,8.987365e-03
8.410000e+07,2.502505e-02
8.440000e+07,-1.534704e-02
8.470000e+07,-2.439993e-03
8.500000e+07,-2.216451e-02
8.530000e+07,1.737740e-03
8.560000e+07,9.290864e-04
8.590000e+07,3.383420e-02
8.620000e+07,-1.601848e-02
8.650000e+07,-3.197828e-04
8.680000e+07,-3.900675e-02
8.710000e+07,-1.495887e-02
8.740000e+07,-2.439096e-02
8.770000e+07,-2.766861e-02
8.800000e+07,-4.410056e-02
8.830000e+07,1.005810e-02
8.860000e+07,-3.850831e-02
8.890000e+07,3.183818e-02
8.920000e+07,3.570537e-02
8.950000e+07,2.739622e-02
8.980000e+07,-2.487188e-02
9.010000e+07,-5.454901e-02
9.040000e+07,-3.654627e-02
9.070000e+07,-1.041865e-01
9.100000e+07,-6.740423e-02
9.130000e+07,-2.437410e-02
9.160000e+07,-6.144093e-02
9.190000e+07,-2.792978e-02
9.220000e+07,-6.476562e-02
9.250000e+07,-6.604599e-03
9.280000e+07,-1.351601e-02
9.310000e+07,-4.955518e-02
9.340000e+07,8.345524e-03
9.370000e+07,-5.254321e-03
9.400000e+07,1.016706e-02
9.430000e+07,5.434323e-03
9.460000e+07,-1.867454e-02
9.490000e+07,-2.473797e-04
9.520000e+07,2.952488e-02
9.550000e+07,-2.113636e-02
9.580000e+07,4.370603e-02
9.610000e+07,1.044656e-02
9.640000e+07,-2.613590e-02
9.670000e+07,4.653102e-02
9.700000e+07,-6.031912e-03
9.730000e+07,-5.664610e-02
9.760000e+07,1.770891e-02
9.790000e+07,-8.507018e-03
9.820000e+07,-1.073631e-02
9.850000e+07,1.437214e-02
9.880000e+07,2.254572e-02
9.910000e+07,4.917932e-03
9.940000e+07,5.692871e-03
9.970000e+07,-3.180408e-02
1.000000e+08,-2.189114e-02
1.003000e+08,-8.350509e-02
1.006000e+08,-3.613583e-02
1.009000e+08,7.236448e-03
1.012000e+08,-3.577379e-03
1.015000e+08,-7.999414e-03
1.018000e+08,7.316373e-04
1.021000e+08,9.382614e-03
1.024000e+08,-2.044823e-03
1.027000e+08,1.620745e-02
1.030000e+08,-1.415200e-02
1.033000e+08,6.541251e-02
1.036000e+08,-3.552074e-02
1.039000e+08,5.015966e-02
1.042000e+08,3.720309e-02
1.045000e+08,-5.684306e-03
1.048000e+08,1.420120e-02
1.051000e+08,-1.316606e-03
1.054000e+08,2.491320e-02
